行政區,事故,死亡,受傷
小港區,1734,17,2465
大寮區,2102,17,2983
三民區,4818,14,6947
鳳山區,5297,12,7663
左營區,3072,11,4249
前鎮區,2966,10,4326
楠梓區,2571,10,3772
大樹區,544,9,716
岡山區,1992,9,2773
旗山區,447,7,625
燕巢區,622,7,809
茄萣區,251,7,370
橋頭區,904,6,1296
阿蓮區,275,6,383
美濃區,277,6,353
永安區,169,6,225
鳥松區,1040,6,1395
林園區,772,6,1138
仁武區,2114,5,2888
路竹區,764,5,1093
田寮區,55,4,82
苓雅區,2435,4,3428
旗津區,216,4,320
大社區,845,3,1187
新興區,1154,3,1585
甲仙區,19,3,20
湖內區,393,3,564
杉林區,50,2,62
鼓山區,1767,2,2451
六龜區,127,2,169
桃源區,44,1,54
內門區,81,1,112
鹽埕區,337,1,477
梓官區,402,1,559
前金區,669,0,918
彌陀區,156,0,224
茂林區,4,0,4
那瑪夏區,11,0,14
